"","site.type","TPI.gen","TRI.gen","SiteID","month","temp.soil.mean.monthly","temp.soil.median.monthly","temp.soil.min.monthly","temp.soil.max.monthly","temp.soil.se.monthly","temp.ground.mean.monthly","temp.ground.median.monthly","temp.ground.min.monthly","temp.ground.max.monthly","temp.ground.se.monthly","temp.air.mean.monthly","temp.air.median.monthly","temp.air.min.monthly","temp.air.max.monthly","temp.air.se.monthly","moisture.soil.mean.monthly","moisture.soil.median.monthly","moisture.soil.min.monthly","moisture.soil.max.monthly","moisture.soil.se.monthly","date"
"34","convex.rugged","convex","rugged","CR01",7,18.7031955645161,18.7577083333333,14.8153125,21.3842708333333,0.306744946429348,18.3320228494624,18.8507291666667,14.3852083333333,21.5873958333333,0.38771477278245,17.4864650537634,18.1069791666667,13.9092708333333,20.1028125,0.355948121049468,1.20319220430108,0.00104166666666667,0,10.0802083333333,0.494459492666772,2025-07-01
"35","convex.rugged","convex","rugged","CR01",8,17.8218380376344,18.5227083333333,12.0748958333333,20.7385416666667,0.471652794705056,17.0306821236559,17.5211458333333,11.6914583333333,21.5045833333333,0.538190216739061,16.3911794354839,17.0880208333333,10.9979166666667,21.1144791666667,0.532611077119917,3.10843413978495,0,0,28.2041666666667,1.33430744454996,2025-08-01
"36","convex.rugged","convex","rugged","CR01",9,13.549296875,13.9211458333333,11.9066666666667,15.2857291666667,0.376651396629001,14.0528472222222,13.2755208333333,12.6251041666667,16.6121875,0.431435493226004,13.9293142361111,13.3148958333333,12.3677083333333,16.1419791666667,0.392401987929956,12.8775173611111,11.9692708333333,5.790625,26.2947916666667,1.8171709433728,2025-09-01
"37","convex.rugged","convex","rugged","CR02",6,16.3529166666667,16.52875,14.9598958333333,17.5810416666667,0.527899513212834,17.2587916666667,18.1591666666667,14.998125,18.5508333333333,0.696120603750009,15.5100625,16.203125,13.5275,16.6414583333333,0.577994367373314,5.20145833333333,5.21770833333333,5.05833333333333,5.334375,0.0452862711444281,2025-06-01
"38","convex.rugged","convex","rugged","CR02",7,16.6210551075269,16.5966666666667,13.79875,19.1877083333333,0.263126774138877,17.3910248655914,17.7361458333333,13.5677083333333,20.8623958333333,0.385343023427158,16.1261928763441,16.4297916666667,13.0032291666667,19.0617708333333,0.320905597014621,6.95087365591398,6.471875,4.98541666666667,11.0072916666667,0.238032194788831,2025-07-01
"39","convex.rugged","convex","rugged","CR02",8,16.2797043010753,16.6952083333333,12.7271875,18.9332291666667,0.322190555036144,16.512439516129,16.614375,12.0392708333333,21.1564583333333,0.448570839911784,15.6057157258065,15.8515625,11.2552083333333,20.3320833333333,0.443485856879091,8.14650537634409,5.72916666666667,4.884375,26.6395833333333,1.14244975186283,2025-08-01
"40","convex.rugged","convex","rugged","CR02",9,13.8491666666667,13.7533333333333,12.2653125,15.7036458333333,0.359949636650565,14.231953125,13.7272395833333,12.2539583333333,17.0322916666667,0.452462531512206,13.6418055555556,13.0421354166667,11.9926041666667,16.1777083333333,0.393875271164135,18.8886284722222,18.5338541666667,13.41875,27.2625,1.27430311797711,2025-09-01
"41","convex.rugged","convex","rugged","CR03",6,18.3804497807018,18.6058333333333,16.2458947368421,20.0555208333333,0.716299158530924,17.7450782894737,18.6314583333333,14.4975789473684,19.3348958333333,0.907245225950211,15.2259791666667,15.9075,12.73,16.4305208333333,0.690195310490635,3.97569956140351,4.04166666666667,3.83578947368421,4.06875,0.0469969231547245,2025-06-01
"42","convex.rugged","convex","rugged","CR03",7,18.8533232526882,18.9136458333333,14.9877083333333,22.1080208333333,0.337280042154681,18.2249126344086,18.314375,14.6316666666667,21.9096875,0.381492869008986,16.2037936827957,16.1447916666667,13.1008333333333,19.2523958333333,0.307224835496365,5.30584677419355,4.421875,3.05208333333333,10.003125,0.378843381018658,2025-07-01
"43","convex.rugged","convex","rugged","CR03",8,17.8069489247312,18.5089583333333,12.953125,20.8764583333333,0.446075717225332,17.066686827957,17.4220833333333,12.10875,20.9041666666667,0.480625387568421,15.4503494623656,15.9503125,11.2625,19.80375,0.437840695971947,6.3332997311828,3.88645833333333,1.43958333333333,29.7458333333333,1.42718914306015,2025-08-01
"44","convex.rugged","convex","rugged","CR03",9,14.7344704861111,14.8896875,12.5264583333333,17.0992708333333,0.454776660524275,14.4936197916667,14.0571354166667,13.0254166666667,16.983125,0.410932476694127,13.4734548611111,13.2081770833333,12.0592708333333,15.9117708333333,0.356979582729165,21.0025173611111,20.8265625,15.0604166666667,29.9875,1.32379149459064,2025-09-01
