"","SiteID","Species","Group","germ.rate.total","surv.rate.total","estab.rate.total","germ.rate.total.logit","surv.rate.total.logit","estab.rate.total.logit","germ.rate.spring","surv.rate.spring","germ.rate.spring.logit","surv.rate.spring.logit","germination.total","potential.germ.total","survival.total","damage.any","canopy.cover.mean","elevation.m","TPI.30","TPI.gen","Slope","TRI.30","TRI.gen","aspect","aspect.gen","month","temp.soil.mean","temp.soil.min","temp.soil.max","temp.soil.se","temp.ground.mean","temp.ground.min","temp.ground.max","temp.ground.se","temp.air.mean","temp.air.min","temp.air.max","temp.air.se","date"
"364","CR10","psme","N",0.28,0.5,0.14,-0.926345768069136,0,-1.76632457208023,0.28,0.929,-0.926345768069136,2.46775246364891,14,50,7,0,40.46,2291.218746,-1.13975491,"concave",7.469630928,3.324239502,"low",319.9211703,"NW",9,12.4632725694444,7,21.44,0.104061430922661,12.8637673611111,-0.06,35.75,0.284777010950863,12.3735329861111,-0.75,32.88,0.274125313003123,NA
"365","CR10","pico","S",0.54,0.63,0.34,0.157659093290822,0.522932955851883,-0.65143308914747,0.54,0.926,0.157659093290822,2.42749434138547,27,50,17,0,40.46,2291.218746,-1.13975491,"concave",7.469630928,3.324239502,"low",319.9211703,"NW",6,16.45375,8.31,27.5,0.245090237046291,16.1665,-1.25,39.5,0.5922047311805,14.8472291666667,-2.12,35.94,0.552878167081739,NA
"366","CR10","pico","S",0.54,0.63,0.34,0.157659093290822,0.522932955851883,-0.65143308914747,0.54,0.926,0.157659093290822,2.42749434138547,27,50,17,0,40.46,2291.218746,-1.13975491,"concave",7.469630928,3.324239502,"low",319.9211703,"NW",7,16.6029301075269,8.38,28.25,0.0901156205721115,16.4158635752688,-0.88,41.12,0.213279496331066,15.3178494623656,-1.88,37.44,0.200489183542658,NA
"367","CR10","pico","S",0.54,0.63,0.34,0.157659093290822,0.522932955851883,-0.65143308914747,0.54,0.926,0.157659093290822,2.42749434138547,27,50,17,0,40.46,2291.218746,-1.13975491,"concave",7.469630928,3.324239502,"low",319.9211703,"NW",8,15.1663071236559,6.44,26.25,0.0822499177194756,14.9543951612903,-2.81,41.38,0.20201671849898,14.1768380376344,-3.94,37.19,0.192275021157062,NA
"368","CR10","pico","S",0.54,0.63,0.34,0.157659093290822,0.522932955851883,-0.65143308914747,0.54,0.926,0.157659093290822,2.42749434138547,27,50,17,0,40.46,2291.218746,-1.13975491,"concave",7.469630928,3.324239502,"low",319.9211703,"NW",9,12.4632725694444,7,21.44,0.104061430922661,12.8637673611111,-0.06,35.75,0.284777010950863,12.3735329861111,-0.75,32.88,0.274125313003123,NA
"369","CR10","psme","S",0.08,0,0,-2.35082776194038,-4.77912349311153,-4.77912349311153,0.08,0.5,-2.35082776194038,0,4,50,0,0,40.46,2291.218746,-1.13975491,"concave",7.469630928,3.324239502,"low",319.9211703,"NW",6,16.45375,8.31,27.5,0.245090237046291,16.1665,-1.25,39.5,0.5922047311805,14.8472291666667,-2.12,35.94,0.552878167081739,NA
"370","CR10","psme","S",0.08,0,0,-2.35082776194038,-4.77912349311153,-4.77912349311153,0.08,0.5,-2.35082776194038,0,4,50,0,0,40.46,2291.218746,-1.13975491,"concave",7.469630928,3.324239502,"low",319.9211703,"NW",7,16.6029301075269,8.38,28.25,0.0901156205721115,16.4158635752688,-0.88,41.12,0.213279496331066,15.3178494623656,-1.88,37.44,0.200489183542658,NA
"371","CR10","psme","S",0.08,0,0,-2.35082776194038,-4.77912349311153,-4.77912349311153,0.08,0.5,-2.35082776194038,0,4,50,0,0,40.46,2291.218746,-1.13975491,"concave",7.469630928,3.324239502,"low",319.9211703,"NW",8,15.1663071236559,6.44,26.25,0.0822499177194756,14.9543951612903,-2.81,41.38,0.20201671849898,14.1768380376344,-3.94,37.19,0.192275021157062,NA
"372","CR10","psme","S",0.08,0,0,-2.35082776194038,-4.77912349311153,-4.77912349311153,0.08,0.5,-2.35082776194038,0,4,50,0,0,40.46,2291.218746,-1.13975491,"concave",7.469630928,3.324239502,"low",319.9211703,"NW",9,12.4632725694444,7,21.44,0.104061430922661,12.8637673611111,-0.06,35.75,0.284777010950863,12.3735329861111,-0.75,32.88,0.274125313003123,NA
"373","CR10","pico","W",0.1,0,0,-2.12525107771113,-4.77912349311153,-4.77912349311153,0.08,1,-2.35082776194038,4.77912349311153,5,50,0,0,40.46,2291.218746,-1.13975491,"concave",7.469630928,3.324239502,"low",319.9211703,"NW",6,16.45375,8.31,27.5,0.245090237046291,16.1665,-1.25,39.5,0.5922047311805,14.8472291666667,-2.12,35.94,0.552878167081739,NA
"374","CR10","pico","W",0.1,0,0,-2.12525107771113,-4.77912349311153,-4.77912349311153,0.08,1,-2.35082776194038,4.77912349311153,5,50,0,0,40.46,2291.218746,-1.13975491,"concave",7.469630928,3.324239502,"low",319.9211703,"NW",7,16.6029301075269,8.38,28.25,0.0901156205721115,16.4158635752688,-0.88,41.12,0.213279496331066,15.3178494623656,-1.88,37.44,0.200489183542658,NA
"375","CR10","pico","W",0.1,0,0,-2.12525107771113,-4.77912349311153,-4.77912349311153,0.08,1,-2.35082776194038,4.77912349311153,5,50,0,0,40.46,2291.218746,-1.13975491,"concave",7.469630928,3.324239502,"low",319.9211703,"NW",8,15.1663071236559,6.44,26.25,0.0822499177194756,14.9543951612903,-2.81,41.38,0.20201671849898,14.1768380376344,-3.94,37.19,0.192275021157062,NA
